epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,26.2486,0.46711,0.56458,0.89564,0.98681,1,0.995,0.89732,0.5169,0.88853,0.80189,0.000999282,0.000999282,0.000999282
45,26.8526,0.51601,0.56946,0.89212,0.98681,1,0.995,0.89732,0.5169,0.88853,0.80189,0.00100463,0.00100463,0.00100463
46,27.372,0.55853,0.62837,0.90167,0.99019,1,0.995,0.90804,0.48418,0.71201,0.7918,0.00100919,0.00100919,0.00100919
47,27.8993,0.47235,0.58041,0.8633,0.99019,1,0.995,0.90804,0.48418,0.71201,0.7918,0.00101296,0.00101296,0.00101296
48,28.4716,0.48369,0.5725,0.89581,0.99229,1,0.995,0.96835,0.41039,0.60161,0.78287,0.00101593,0.00101593,0.00101593
49,29.0185,0.51657,0.55969,0.89209,0.99229,1,0.995,0.96835,0.41039,0.60161,0.78287,0.00101811,0.00101811,0.00101811
50,29.5717,0.47828,0.549,0.88353,0.99299,1,0.995,0.92006,0.48003,0.49915,0.79166,0.0010195,0.0010195,0.0010195
51,30.086,0.46488,0.52673,0.86455,0.99299,1,0.995,0.92006,0.48003,0.49915,0.79166,0.00101,0.00101,0.00101
52,30.7193,0.45508,0.52839,0.85867,0.99357,1,0.995,0.90804,0.58141,0.52429,0.80439,0.0009902,0.0009902,0.0009902
53,31.2153,0.49443,0.55885,0.89161,0.99357,1,0.995,0.90804,0.58141,0.52429,0.80439,0.0009704,0.0009704,0.0009704
54,31.7592,0.50179,0.5234,0.89654,0.99355,1,0.995,0.95591,0.41396,0.45076,0.77674,0.0009506,0.0009506,0.0009506
55,32.3042,0.46452,0.52891,0.88841,0.99355,1,0.995,0.95591,0.41396,0.45076,0.77674,0.0009308,0.0009308,0.0009308
